,Job Title,Company,Location,Salary,Search Term
77,"Specialist - Operations Performance, Energy Insights","        McKinsey &amp; Company","Houston, TX",NaN,Houston
78,Air Monitoring Specialist -PM 2.5,"        Alion Science and Technology","Houston, TX",NaN,Houston
79,"Senior Analyst, Technical Accounting and Research T7119","        Targa Resources","Houston, TX",NaN,Houston
80,"Accenture Insights Platform Product Manager, Southwest US Re...","        Accenture","Houston, TX",NaN,Houston
81,Orbital Debris <b>Scientist</b>,"        Jacobs","Houston, TX",NaN,Houston
82,"Medical Science Liaison (MSL), Hematology - Myeloid","        Celgene Corporation","Houston, TX 77002 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,Houston
83,"Medical Science Liaison (MSL), Hematology","        Celgene","Houston, TX",NaN,Houston
84,Quality Assurance Specialist - Blood Bank,"    MD Anderson Cancer Center","Houston, TX",NaN,Houston
85,Postdoctoral Associate,"        Baylor College of Medicine","Houston, TX",NaN,Houston
86,R&amp;T <b>Scientist</b> III,"        Lonza","Houston, TX",NaN,Houston
87,UI/ UX Developer,"    BRESA","Houston, TX",NaN,Houston
88,Water Engineer Intern,"        Arcadis:US","Houston, TX",NaN,Houston
89,"Integrated Human Performance Lead (Houston, TX)","        KBRWyle","Houston, TX",NaN,Houston
90,Water Engineer Intern,"        Arcadis:US","Houston, TX",NaN,Houston
91,Postdoctoral Fellow,"        Houston Methodist Research Institute","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
92,Project Specialist,"        Houston Methodist","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
93,"<b>Data</b> <b>Scientist</b>, Revenue Management","        SYSCO","Houston, TX",NaN,Houston
94,"Director, ETL Lead/Developer â€“ Hadoop Ecosystem","        Valic","Houston, TX",NaN,Houston
95,Science Consultant,"        alliantgroup","Houston, TX",NaN,Houston
96,"Director, ETL Lead/Developer â€“ Hadoop Ecosystem","        AIG","Houston, TX",NaN,Houston
97,Account Manager,"        Nokia","Houston, TX",NaN,Houston
98,P&amp;C Predictive Modeling Actuarial Associate (PR9850),"    Pryor Personnel Agency, Inc.","Houston, TX",NaN,Houston
99,Clinical Research Financial Analyst,"        UT Health Science Center at Houston","Houston, TX",NaN,Houston
100,Procurement Specialist,"        VWR","Houston, TX",NaN,Houston
101,Engineering Consultant,"        alliantgroup","Houston, TX",NaN,Houston
102,2017 Computational Sciences - <b>Data</b> <b>Scientist</b>,"        ExxonMobil","Houston, TX 77046 <span style=""font-size: smaller"">(Montrose area)</span>",NaN,Houston
103,Java Programmer,"        alliantgroup","Houston, TX",NaN,Houston
104,R&amp;D <b>Scientist</b>/ Lab Technician,"        AFGlobal Corporation","Houston, TX",NaN,Houston
105,<b>Data</b> <b>Scientist</b> at PREDICTif Solutions,"        Smith &amp; Associates","Houston, TX",NaN,Houston
106,Associate Professor,"        Baylor College of Medicine","Houston, TX",NaN,Houston
107,Metallurgical Technician,"        Weatherford","Houston, TX 77041",NaN,Houston
108,"Principal, Education | Science | Tech","        HDR","Houston, TX",NaN,Houston
109,Quality Control Attorney,"        alliantgroup","Houston, TX",NaN,Houston
110,Research Associate I in Molecular Cardiology,"        Texas Heart Institute","Houston, TX",NaN,Houston
111,Economics Consultant,"        alliantgroup","Houston, TX",NaN,Houston
112,"R&amp;D Chemist, Associate - R&amp;D Chemist","        Halliburton","Houston, TX 77032",NaN,Houston
113,Chief Medical Technologist,"        Houston Methodist","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
114,HSE Manager (Radiation &amp; Explosives),"        Halliburton","Houston, TX 77032",NaN,Houston
115,Medical Technologist - Generalist - West Campus (7a - 7p),"        Texas Children's Hospital","Houston, TX",NaN,Houston
116,Cost Control Engineer,"        WSP | Parsons Brinckerhoff","Houston, TX",NaN,Houston
117,Solids Control Technician,"    Stage 3 Separation","Houston, TX 77007 <span style=""font-size: smaller"">(Rice Military area)</span>",NaN,Houston
118,"R&amp;D Chemist, Associate - R&amp;D Chemist","        Halliburton","Houston, TX 77032",NaN,Houston
119,Senior Exercise <b>Scientist</b>,"        MEI Technologies","Houston, TX",NaN,Houston
120,Legal Consultant,"        alliantgroup","Houston, TX",NaN,Houston
121,<b>Data</b> <b>Scientist</b>,"        Schlumberger","Houston, TX",NaN,Houston
122,Chief Medical Technologist,"        Houston Methodist","Houston, TX 77030 <span style=""font-size: smaller"">(Medical area)</span>",NaN,Houston
123,<b>Data</b> <b>Scientist</b>,"        Noble Energy, Inc.","Houston, TX 77070",NaN,Houston
124,"Analyst - Operations Performance, Energy Insights","        McKinsey &amp; Company","Houston, TX",NaN,Houston
125,Medical Technologist - Generalist - West Campus (7a - 7p),"        Texas Children's Hospital","Houston, TX",NaN,Houston
126,Assistant/Associate Professor or Professor - Neurology (Rese...,"        UT Health Science Center at Houston","Houston, TX",NaN,Houston
127,Chief Technology Officer - Water Business Line Job,"        Bechtel","Houston, TX",NaN,Houston
128,Technical Supervisor - Laboratory - West Campus (8a - 5p),"        Texas Children's Hospital","Houston, TX",NaN,Houston
129,Exam Admin,"        Reed Elsevier","Houston, TX",NaN,Houston
130,"<b>Data</b> <b>Scientist</b> Internship, Energy Markets Division - Commodi...","        Macquarie Group Limited","Houston, TX",NaN,Houston
131,Exam Admin,"        Elsevier","Houston, TX",NaN,Houston
132,<b>Data</b> <b>Scientist</b> â€“ Machine Learning,"    I.T. Staffing","Houston, TX 77042 <span style=""font-size: smaller"">(West Houston area)</span>",NaN,Houston
133,<b>Data</b> <b>Scientist</b>,"    PREDICTif Solutions","Houston, TX 77024 <span style=""font-size: smaller"">(Greater Memorial area)</span>",NaN,Houston
134,<b>Data</b> <b>Scientist</b>,"    Walker Elliott","Houston, TX",NaN,Houston
135,Lab Technician Specialist (327863),"        Aramco Services Company","Houston, TX 77084",NaN,Houston
136,Supplemental MEG (Magnetoencepholography)/EEG (Electroenceph...,"        Memorial Hermann","Houston, TX",NaN,Houston
137,Coordinator Clinical Studies - Investigational Cancer Therap...,"        MD Anderson Cancer Center","Houston, TX",NaN,Houston
138,Medical Technology Coordinator,"        Houston Methodist","Houston, TX 77070",NaN,Houston
139,Medical Technologist - Medical Center- Pavilion for Women (M...,"        Kinetix","Houston, TX",NaN,Houston
140,Senior <b>Data</b> <b>Scientist</b>,"        General Electric","Houston, TX 77002 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,Houston
141,Environmental Specialist,"    Odfjell","Houston, TX",NaN,Houston
142,Senior <b>Data</b> <b>Scientist</b>,"        Waste Management","Houston, TX",NaN,Houston
143,Sr. UX Designer Professional,"    First Genesis","Spring, TX 77389",NaN,Houston
144,Sr. <b>Data</b> <b>Scientist</b> - Forecasting,"        Honeywell","Phoenix, AZ",NaN,Phoenix
145,Sr. <b>Data</b> <b>Scientist</b>,"        Honeywell","Phoenix, AZ",NaN,Phoenix
146,Associate,"        Exponent","Phoenix, AZ 85027",NaN,Phoenix
147,<b>Data</b> <b>Scientist</b> / BI Analyst,"        Infusionsoft","Chandler, AZ",NaN,Phoenix
148,<b>Data</b> Architect,"        Career Evolutions","Phoenix, AZ","$150,000 a year",Phoenix
149,Business Systems Analyst -MIS <b>Data</b> Analysis/Mining,"        JPMorgan Chase","Phoenix, AZ",NaN,Phoenix
150,Research Analyst,"        DuCharme, McMillen &amp; Associates, Inc.","Phoenix, AZ 85050 <span style=""font-size: smaller"">(Desert View area)</span>",NaN,Phoenix
151,"Instructor, Sr. <b>Data</b> <b>Scientist</b>","        Galvanize","Phoenix, AZ 85003 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
152,Research <b>Scientist</b>,"    reNature, Inc. (A Venture Capital Backed Company)","Phoenix, AZ",NaN,Phoenix
153,Statistician,"        Matrix Medical Network","Scottsdale, AZ",NaN,Phoenix
154,<b>Data</b> Analysis Supervisor,"        NCI Information Systems, Inc.","Phoenix, AZ",NaN,Phoenix
155,<b>Data</b> Architect,"    Nityo Infotech Corp.","Phoenix, AZ",NaN,Phoenix
156,<b>Data</b> Analysis Report Writer,"    Southwest Service Administrators, Inc.","Phoenix, AZ 85021 <span style=""font-size: smaller"">(North Mountain area)</span>",NaN,Phoenix
157,<b>Data</b> Analyst/Research Analyst II,"        EXOS","Phoenix, AZ",NaN,Phoenix
158,"Lead Instructor, Principal <b>Data</b> <b>Scientist</b>","        Galvanize","Phoenix, AZ 85003 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
159,Lead <b>Data</b> <b>Scientist</b>,"        Honeywell","Phoenix, AZ",NaN,Phoenix
160,Administrative Assistant 1,"        Exponent","Phoenix, AZ 85027",NaN,Phoenix
161,Sr. Engineer - Big <b>Data</b>,"    Beyondsoft Consulting Corp.","Tempe, AZ",NaN,Phoenix
162,Master <b>Data</b> Engineer,"        Discover Financial Services","Phoenix, AZ",NaN,Phoenix
163,Bioinformatics <b>Scientist</b>,"    Systems Imagination","Scottsdale, AZ",NaN,Phoenix
164,Sr. Engineer - Big <b>Data</b>,"    Beyondsoft Consulting Corp.","Tempe, AZ",NaN,Phoenix
165,Administrative Assistant 1,"        Exponent","Phoenix, AZ 85027",NaN,Phoenix
166,Machine Learning professional - Full-Time,"    Nityo Infotech Corp","Phoenix, AZ",NaN,Phoenix
167,Director of Business Intelligence,"        P.F. Chang's","Scottsdale, AZ 85255 <span style=""font-size: smaller"">(North Scottsdale area)</span>",NaN,Phoenix
168,RESEARCH AND STATISTICAL ANALYST,"        Arizona Health Care Cost Containment System","Phoenix, AZ","$39,983 - $55,500 a year",Phoenix
169,"Senior <b>Data</b> <b>Scientist</b> - ML, DL, &amp; NLP","    HighPoint Technology Solutions, Inc.","Tempe, AZ",NaN,Phoenix
170,<b>DATA</b> STATISTICAL SPECIALIST,"        State of Arizona","Phoenix, AZ",NaN,Phoenix
171,Research Analyst,"        CVS Health","Scottsdale, AZ",NaN,Phoenix
172,Bioinfomatics Analyst I,"    Systems Imagination","Scottsdale, AZ",NaN,Phoenix
173,"Sr. Manager, Predictive Analytics","        Honeywell","Phoenix, AZ",NaN,Phoenix
174,Real Estate Research Analyst,"        Sprouts Farmers Market","Phoenix, AZ",NaN,Phoenix
175,Cyber Sec Research <b>Scientist</b> 2- Red Team Researcher/Scientis...,"        Wells Fargo","Chandler, AZ",NaN,Phoenix
176,Research Analyst,"        DuCharme, McMillen &amp; Associates, Inc","Phoenix, AZ 85050 <span style=""font-size: smaller"">(Desert View area)</span>",NaN,Phoenix
177,Ultimate Hoops Statistician,"        Life Time Fitness","Goodyear, AZ 85395",NaN,Phoenix
178,Sr. Engineer - Machine Learning,"        EXPERIAN","Scottsdale, AZ",NaN,Phoenix
179,Sr <b>Data</b> Engineer,"        Honeywell","Phoenix, AZ",NaN,Phoenix
180,Ultimate Hoops Statistician,"        Life Time Fitness","Goodyear, AZ 85395",NaN,Phoenix
181,AIR QUALITY PLANNER 2-3,"        State of Arizona","Phoenix, AZ","$45,000 - $77,000 a year",Phoenix
182,Chief Science Officer,"    reNature, Inc. (A Venture Capital Backed Company)","Phoenix, AZ",NaN,Phoenix
183,Infrastructure Machine Learning Developer,"        Aetna","Phoenix, AZ",NaN,Phoenix
184,Business Intelligence Developer Intern,"        Carvana","Phoenix, AZ",NaN,Phoenix
185,MRI Physicist,"        Phoenix Children's Hospital","Phoenix, AZ 85002 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
186,<b>Data</b> <b>Scientist</b> III,"        Choice Hotels","Phoenix, AZ 85032 <span style=""font-size: smaller"">(Paradise Valley area)</span>",NaN,Phoenix
187,Cultural Resources Specialist 1,"        HDR","Phoenix, AZ",NaN,Phoenix
188,Post Doc,"    TGen","Phoenix, AZ",NaN,Phoenix
189,<b>Data</b> <b>Scientist</b> with Clinical Experience,"        Cognizant","Scottsdale, AZ 85260 <span style=""font-size: smaller"">(North Scottsdale area)</span>",NaN,Phoenix
190,"Embedded Software Engineer â€“ ATAS-1325 Scottsdale,AZ","        Georgia Tech Research Institute","Scottsdale, AZ",NaN,Phoenix
191,Paralegal,"    Emord &amp; Associates, P.C.","Gilbert, AZ 85295","$45,000 - $55,000 a year",Phoenix
192,Big <b>Data</b> Architect,"        Honeywell","Phoenix, AZ",NaN,Phoenix
193,<b>Data</b> <b>Scientist</b>,"        Trax Technologies","Scottsdale, AZ 85260 <span style=""font-size: smaller"">(North Scottsdale area)</span>",NaN,Phoenix
194,Senior Pricing Analyst-Statistical,"        Republic Services","Phoenix, AZ 85067 <span style=""font-size: smaller"">(Alhambra area)</span>",NaN,Phoenix
195,Associate/Senior Associate Environmental <b>Scientist</b>/Engineer,"        ENVIRON International Corporation","Phoenix, AZ",NaN,Phoenix
196,Economic Research Analyst,"        Northern Trust Corp.","Tempe, AZ 85284",NaN,Phoenix
197,LCMS Technologist &amp; Certification <b>Scientist</b>,"        Treatment Assessment Screening Center (TASC)","Phoenix, AZ",NaN,Phoenix
198,ENVIRONMENTAL <b>SCIENTIST</b> - EMISSIONS,"        State of Arizona","Phoenix, AZ","$49,000 - $61,000 a year",Phoenix
199,Research Fellow - Mathematical Modeling of Cancer Job,"        Mayo Clinic","Phoenix, AZ 85054 <span style=""font-size: smaller"">(Desert View area)</span>",NaN,Phoenix
200,<b>Data</b> <b>Scientist</b> II,"        Honeywell","Phoenix, AZ",NaN,Phoenix
201,Web Security Research Analyst,"        SiteLock","Scottsdale, AZ","$50,000 - $55,000 a year",Phoenix
202,Instrumentation Technician 1,"        Exponent","Phoenix, AZ 85027",NaN,Phoenix
203,COMPLIANCE OFFICER - HAZ WASTE,"        State of Arizona","Phoenix, AZ","$50,000 - $61,500 a year",Phoenix
204,<b>Data</b> <b>Scientist</b>,"    Vbeyond Corporation","Phoenix, AZ",NaN,Phoenix
205,Research <b>Scientist</b> Trainee II,"        Phoenix Children's Hospital","Phoenix, AZ 85002 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
206,<b>Data</b> <b>Scientist</b>,"    Axius Technologies","Phoenix, AZ",NaN,Phoenix
207,Instrumentation Technician 1,"        Exponent","Phoenix, AZ 85027",NaN,Phoenix
208,Environmental Planner 2,"        HDR","Phoenix, AZ",NaN,Phoenix
209,Transportation Planner 2,"        HDR","Phoenix, AZ",NaN,Phoenix
210,Sr Project Manager,"        Beckman Coulter, Inc.","Phoenix, AZ",NaN,Phoenix
211,RESEARCH &amp; STATISTICS ANALYST,"        State of Arizona","Phoenix, AZ","$30,000 - $45,000 a year",Phoenix
212,Medical Lab <b>Scientist</b> II,"        Phoenix Children's Hospital","Phoenix, AZ 85016 <span style=""font-size: smaller"">(Camelback East area)</span>",NaN,Phoenix
213,Adjunct - Performing Analytics Using a Statistical Language...,"        Grand Canyon University","Phoenix, AZ 85017 <span style=""font-size: smaller"">(Alhambra area)</span>",NaN,Phoenix
214,2480 - <b>Data</b> Architect or <b>Scientist</b>,"        ReqRoute,Inc","Phoenix, AZ",NaN,Phoenix
215,<b>Data</b> Architect/<b>Scientist</b>,"        Axius Technologies","Phoenix, AZ",NaN,Phoenix
216,RESEARCH &amp; STATISTICS ANALYST,"        State of Arizona","Phoenix, AZ","$30,000 - $45,000 a year",Phoenix
217,Adjunct - Performing Analytics Using a Statistical Language...,"        Grand Canyon University","Phoenix, AZ 85017 <span style=""font-size: smaller"">(Alhambra area)</span>",NaN,Phoenix
218,Laboratory Technologist,"    Cyrex Laboratories LLC","Phoenix, AZ 85034 <span style=""font-size: smaller"">(Central City area)</span>",NaN,Phoenix
219,Cleanroom Laundry Attendant,"        VWR","Chandler, AZ",NaN,Phoenix
220,ENVIRONMENTAL TECHNICIAN,"        State of Arizona","Phoenix, AZ","$33,000 - $42,000 a year",Phoenix
221,<b>Data</b> <b>Scientist</b> - Modeling,"        Emailage","Chandler, AZ 85225",NaN,Phoenix
222,Senior Instrumentation and Controls Engineer,"        HDR","Phoenix, AZ",NaN,Phoenix
223,Digital Marketing (<b>Data</b> <b>Scientist</b>),"    Kennedy Unlimited Inc, Professional Staffing","Phoenix, AZ","$100,000 - $130,000 a year",Phoenix
224,Supervising Planner,"        WSP | Parsons Brinckerhoff","Tempe, AZ",NaN,Phoenix
225,WAH <b>Data</b> Entry and Research Analyst,"    AZ Appraising","Gilbert, AZ",$10 - $15 an hour,Phoenix
226,Construction Manager- <b>Data</b> Center/Mission Critical Facilitie...,"        HDR","Phoenix, AZ",NaN,Phoenix
227,Electrical Engineer II,"        Altair","Chandler, AZ 85249",NaN,Phoenix
228,"Information Technology Support Analyst, Senior (Phoenix, AZ)","        The University of Arizona","Phoenix, AZ","$39,173 - $54,944 a year",Phoenix
229,"Professor, Sleep and Circadian Biology (T/TE)(Phoenix, AZ )","        The University of Arizona","Phoenix, AZ",NaN,Phoenix
230,Associate <b>Data</b> <b>Scientist</b>,"    Ray Allen","Chicago, IL 60654 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
231,Research <b>Data</b> Analyst,"        Northwestern University","Chicago, IL",NaN,Chicago
232,Statistician,"        Vizient, Inc.","Chicago, IL 60606 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
233,"Engineer, Machine Learning &amp; AI","        Lenovo","Chicago, IL",NaN,Chicago
234,Senior <b>Data</b> <b>Scientist</b>,"        Rally Health","Chicago, IL",NaN,Chicago
235,<b>Data</b> Engineer,"    Enodo Score","Chicago, IL","$70,000 - $90,000 a year",Chicago
236,Statistician,"        Rush University Medical Center","Chicago, IL",NaN,Chicago
237,<b>Data</b> <b>Scientist</b>,"        Huxley Associates","Chicago, IL","$100,000 a year",Chicago
238,Statistician (Master's Level),"        Ann &amp; Robert H. Lurie Childrenâ€™s Hospital of Chica...","Chicago, IL",NaN,Chicago
239,Watson Health - <b>Data</b> Miner - Truven,"        IBM","Chicago, IL",NaN,Chicago
240,<b>Data</b> <b>Scientist</b>,"        Jobspring Partners","Chicago, IL","$120,000 - $140,000 a year",Chicago
241,Sr <b>Data</b> <b>Scientist</b>,"        General Electric","Chicago, IL 60601 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
242,Research <b>Data</b> Analyst Lead,"        Northwestern University","Evanston, IL",NaN,Chicago
243,Statistical Process Control Analyst,"    OSI Group","Chicago, IL",NaN,Chicago
244,Sr. Manager Quantative Methods/ <b>Data</b> <b>Scientist</b>,"        US Foods","Chicago, IL",NaN,Chicago
245,Research <b>Data</b> Analyst Associate,"        Northwestern University","Chicago, IL",NaN,Chicago
246,Statistical Analyst,"        TTX Company","Chicago, IL 60606 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
247,<b>Data</b> Analyst - Insurance,"        CCC Information Services Inc.","Chicago, IL 60654 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
248,Senior <b>Data</b> <b>Scientist</b>,"    iLoan, a OneMain brand","Chicago, IL",NaN,Chicago
249,Sr. <b>Data</b> <b>Scientist</b> // Contract // West Loop Chicago,"        Modis","Chicago, IL 60661 <span style=""font-size: smaller"">(Near West Side area)</span>",$85 - $110 an hour,Chicago
250,<b>Data</b> Engineer Contractor,"        Workbridge Associates","Chicago, IL",$45 - $80 an hour,Chicago
251,"Analyst - Periscope Advanced Insights - Growth Mapping, McKi...","        McKinsey &amp; Company","Chicago, IL",NaN,Chicago
252,<b>Data</b> <b>Scientists</b> Lead - Visualization,"        Anthem, Inc.","Chicago, IL 60654 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
253,Senior Quantitative Analyst,"        OCC","Chicago, IL 60605 <span style=""font-size: smaller"">(Near South Side area)</span>",NaN,Chicago
254,"Analyst/Senior Analyst, Advanced Analytics","        Liberty Mutual","Chicago, IL","$73,300 - $114,900 a year",Chicago
255,Associate <b>Data</b> <b>Scientist</b>,"    Forbes Technical Consulting LLC","Chicago, IL 60654 <span style=""font-size: smaller"">(Loop area)</span>",NaN,Chicago
256,<b>Data</b> Science Manager,"        Capital One","Chicago, IL",NaN,Chicago
257,<b>Data</b> Science Manager,"        Capital One","Chicago, IL",NaN,Chicago
258,Capital One - <b>Data</b> Science Manager,"    Illinois Technology Association","Chicago, IL",NaN,Chicago
