,Job Title,Company,Location,Salary,Search Term
67,Senior <b>Data</b> <b>Scientist</b>,"
    Adadyn","San Francisco, CA",NaN,San+Francisco
68,Machine Learning Engineer - Ads Prediction,"
    TellApart","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
69,Senior <b>Data</b> <b>Scientist</b>,"
    Metromile","San Francisco, CA",NaN,San+Francisco
70,Statistician-Research Institute,"
        Sutter Health","San Francisco, CA",NaN,San+Francisco
71,Machine Learning <b>Data</b> Engineer,"
        Capital One","San Francisco, CA",NaN,San+Francisco
72,<b>Data</b> Science Analyst,"
        AIG","New York, NY",NaN,New+York
73,Real World Evidence Statistical Analyst,"
        Barrington James","New York, NY 10005 <span style=""font-size: smaller"">(Financial District area)</span>","$110,000 a year",New+York
74,<b>Data</b> <b>Scientist</b>,"
        Oliver James Associates","New York, NY","$160,000 a year",New+York
75,Machine Learning,"
        Twitter","New York, NY",NaN,New+York
76,Machine Learning Infrastructure Engineer,"
    Schrodinger","New York, NY",NaN,New+York
77,<b>Data</b> <b>Scientists</b>,"
    FXcompared","New York, NY",NaN,New+York
78,<b>Data</b> <b>Scientist</b>,"
    indify","New York, NY","$90,000 - $170,000 a year",New+York
79,Sr <b>Data</b> <b>Scientist</b>,"
        Aetna","New York, NY 10016 <span style=""font-size: smaller"">(Gramercy area)</span>",NaN,New+York
80,<b>Data</b> Science Manager,"
    HarperCollins Publishers Inc.","New York, NY",NaN,New+York
81,<b>Data</b> Research Analyst - Office of Chief Nurse Executive,"
        Northwell Health","New Hyde Park, NY 11040",NaN,New+York
82,Machine Learning Engineer,"
    AdTheorent","New York, NY",NaN,New+York
83,Quantitative <b>Scientist</b>,"
        Flatiron Health","New York, NY",NaN,New+York
84,<b>Scientist</b> - Business Process Modeling and Simulation,"
        AIG","New York, NY",NaN,New+York
85,Sr. <b>Data</b> <b>Scientist</b>,"
    Hudson <b>Data</b>","New York, NY",NaN,New+York
86,"<b>Scientist</b>, Biomedical Informatics – Molecular Oncology","
    GeneDx, Inc","Elmwood Park, NJ",NaN,New+York
87,Senior <b>Data</b> <b>Scientist</b>,"
    AdTheorent","New York, NY",NaN,New+York
88,Director <b>Data</b> Science,"
    AdTheorent","New York, NY",NaN,New+York
89,Ultimate Hoops Statistician,"
        Life Time Fitness","New York, NY",NaN,New+York
90,<b>Data</b> <b>Scientist</b> Intern,"
        Copart, Inc","Dallas, TX 75254 <span style=""font-size: smaller"">(Far North area)</span>",NaN,Dallas
91,Applied Statistical Learning <b>Scientist</b>,"
    Spectral MD, Inc.","Dallas, TX",NaN,Dallas
92,Sr <b>Data</b> <b>Scientist</b>,"
        Atos","Dallas, TX",NaN,Dallas
93,<b>Data</b> Analytics Scien Lv 2-PCCI,"
        Parkland Hospital","Dallas, TX",NaN,Dallas
94,Statistician,"
        Rent A Center","Plano, TX",NaN,Dallas
95,Fair Lending Statistician,"
        Happy State Bank","Addison, TX 75001",NaN,Dallas
96,Statistician II,"
        Worldwide Express","Dallas, TX 75201 <span style=""font-size: smaller"">(City Center District area)</span>",NaN,Dallas
97,Quantitative Analyst Intern,"
        Nationstar Mortgage","Coppell, TX 75019",NaN,Dallas
98,Healthcare <b>Data</b> Analyst - Dallas or Houston,"
        Quality Health Strategies","Dallas, TX",NaN,Dallas
99,"Sr. <b>Data</b> <b>Scientist</b>, Predictive Analytics","
        ABBOTT LABORATORIES","Irving, TX 75038",NaN,Dallas
100,Professional-<b>Data</b> Analysis - BIG <b>DATA</b>,"
        AT&amp;T","Plano, TX",NaN,Dallas
101,<b>Data</b> Analyst,"
        American Heart Association","Dallas, TX 75219 <span style=""font-size: smaller"">(Oak Lawn area)</span>",NaN,Dallas
102,Ultimate Hoops Statistician,"
        Life Time Fitness","Plano, TX 75024",NaN,Dallas
103,Research Analyst - Media,"
        Spectrum","Dallas, TX",NaN,Dallas
104,Big <b>Data</b> Technical Intern I,"
        AT&amp;T","Plano, TX",NaN,Dallas
105,<b>Data</b> Science Cross Offering Manager,"
        Accenture","Dallas, TX",NaN,Dallas
106,Sr Software Engineer II,"
        Altair Engineering","Dallas, TX","$102,000 a year",Dallas
107,Assoc Director <b>Data</b> Insights-BIG <b>DATA</b>,"
        AT&amp;T","Plano, TX",NaN,Dallas
108,<b>Data</b> <b>Scientist</b>,"
    Computer Enterprises, Inc. (CEI)","Philadelphia, PA","$160,000 a year",Philadelphia
109,<b>Data</b> <b>Scientist</b>,"
    ACROSTAFF","Philadelphia, PA",$120 an hour,Philadelphia
110,Associate,"
        Exponent","Philadelphia, PA 19104 <span style=""font-size: smaller"">(Belmont area)</span>",NaN,Philadelphia
111,Machine Learning Specialist,"
        IMS Health","Plymouth Meeting, PA",NaN,Philadelphia
112,Analytical <b>Scientist</b>,"
        Eurofins","Spring House, PA",NaN,Philadelphia
113,<b>Data</b> <b>Scientist</b>,"
        Workbridge Associates","Philadelphia, PA","$95,000 - $120,000 a year",Philadelphia
114,Sr <b>Data</b> <b>Scientist</b>,"
    QuintilesIMS","Plymouth Meeting, PA",NaN,Philadelphia
115,Lead <b>Data</b> <b>Scientist</b>,"
        Comcast","Philadelphia, PA 19103 <span style=""font-size: smaller"">(Belmont area)</span>",NaN,Philadelphia
116,<b>Data</b> <b>Scientist</b>,"
        Jobspring Partners","King of Prussia, PA 19406","$125,000 a year",Philadelphia
117,Senior Analyst Quantitative Analytics,"
        Lincoln Financial","Philadelphia, PA",NaN,Philadelphia
118,Sr. <b>Data</b> <b>Scientist</b>,"
        Comcast","Philadelphia, PA 19103 <span style=""font-size: smaller"">(Belmont area)</span>",NaN,Philadelphia
119,Statistician,"
        Drexel University","Philadelphia, PA",NaN,Philadelphia
120,Statistician,"
    QuintilesIMS","Plymouth Meeting, PA",NaN,Philadelphia
121,STATISTICAL ANALYST A,"
        University of Pennsylvania","Philadelphia, PA",NaN,Philadelphia
122,"Machine Learning Software Engineer, Analytics Center of Exce...","
    QuintilesIMS","Philadelphia, PA",NaN,Philadelphia
123,Analytical <b>Scientist</b> – PAS,"
        Eurofins","Malvern, PA",NaN,Philadelphia
124,Exploratory Biomarker Assay Senior Analyst (Grade 7): Immuno...,"
        GlaxoSmithKline","King of Prussia, PA",NaN,Philadelphia
125,"US Health Outcomes and Epidemiology <b>Scientist</b>, Vaccines","
        GlaxoSmithKline","Philadelphia, PA",NaN,Philadelphia
126,Jr. <b>Data</b> <b>Scientist</b>,"
        Comverge Inc","Denver, CO",NaN,Denver
127,Machine Learning Engineer,"
        IBM","Denver, CO 80237 <span style=""font-size: smaller"">(Southeastern Denver area)</span>",NaN,Denver
128,"SENIOR RESEARCH ANALYST, PORTALS","
        Denver Public Schools","Denver, CO","$63,339 - $76,007 a year",Denver
129,<b>Data</b> Science Analyst,"
        xentity corporation","Denver, CO",NaN,Denver
130,Senior Statistical/<b>Data</b> Analyst,"
        Charles Schwab","Lone Tree, CO 80124",NaN,Denver
131,Senior <b>Data</b> Analyst,"
    Backflip Studios","Boulder, CO 80301",NaN,Denver
132,Senior Statistical Researcher - Sheriff Department,"
        City and County of Denver","Denver, CO 80216 <span style=""font-size: smaller"">(Northern Denver area)</span>","$55,132 - $88,211 a year",Denver
133,<b>Data</b> Analytics Consultant - Alteryx,"
        KPMG","Denver, CO 80202 <span style=""font-size: smaller"">(Lodo area)</span>",NaN,Denver
134,Senior Staff <b>Data</b> <b>Scientist</b>,"
        Levi, Ray &amp; Shoup, Inc.","Denver, CO",NaN,Denver
135,Associate <b>Data</b> <b>Scientist</b>/Sr. Analyst,"
        Ibotta","Denver, CO 80202 <span style=""font-size: smaller"">(Lodo area)</span>",NaN,Denver
136,Sr. <b>Data</b> <b>Scientist</b> - ID Graph,"
        Oracle","Broomfield, CO",NaN,Denver
137,"Instructor, Sr. <b>Data</b> <b>Scientist</b>","
        Galvanize","Denver, CO",NaN,Denver
138,1013 Business <b>Data</b> analysis,"
        ReqRoute,Inc","Denver, CO",NaN,Denver
139,9063 <b>Data</b> analysis,"
        ReqRoute,Inc","Denver, CO",NaN,Denver
140,Institutional Research Analyst - Morgridge College Of Educat...,"
        University of Denver","Denver, CO",NaN,Denver
141,Principal <b>Data</b> <b>Scientist</b>,"
        SpotX","Westminster, CO",NaN,Denver
142,<b>Data</b> Analyst,"
        xentity corporation","Denver, CO",NaN,Denver
143,<b>Data</b> Science Analyst (Intern),"
        xentity corporation","Golden, CO",NaN,Denver
144,Machine Learning Engineer,"
    Tastemade","Santa Monica, CA",NaN,Los+Angeles
145,"Senior <b>Data</b> <b>Scientist</b>, Content Science &amp; Algorithms","
        Netflix","Los Angeles, CA",NaN,Los+Angeles
146,Machine Learning <b>Scientist</b>,"
    Tinder","West Hollywood, CA",NaN,Los+Angeles
147,"Financial, <b>Data</b> Modeling &amp; Research Analyst","
    Ideatree","West Hollywood, CA 90048",NaN,Los+Angeles
148,Statistician I,"
        USC","Los Angeles, CA",NaN,Los+Angeles
149,Machine learning developer,"
        Luxoft","Los Angeles, CA",NaN,Los+Angeles
150,Part Time <b>Data</b> Science Instructor,"
        General Assembly","Santa Monica, CA",NaN,Los+Angeles
151,Quantitative Analyst,"
    Montgomery Assets","Los Angeles, CA","$97,000 a year",Los+Angeles
152,Lead <b>Data</b> Science Instructor,"
        General Assembly","Santa Monica, CA",NaN,Los+Angeles
153,Research <b>Scientist</b>,"
        SDL","Los Angeles, CA",NaN,Los+Angeles
154,Machine Learning Research <b>Scientist</b>,"
        Datalogic","Pasadena, CA",NaN,Los+Angeles
155,SR. <b>DATA</b> <b>SCIENTIST</b>,"
    Executive Health","Woodland Hills, CA",NaN,Los+Angeles
156,Machine Learning Developer,"
    Idexcel Technologies","Los Angeles, CA",NaN,Los+Angeles
157,"Senior <b>Data</b> Engineer, Content Analytics","
        Netflix","Los Angeles, CA",NaN,Los+Angeles
158,Sr. <b>Data</b> <b>Scientist</b>,"
    CrowdStrike","Los Angeles, CA",NaN,Los+Angeles
159,<b>Data</b> <b>Scientist</b> / Sr. <b>Data</b> <b>Scientist</b>,"
        Tillster","Los Angeles, CA",NaN,Los+Angeles
160,Machine Learning Engineer,"
        Impact Health","Playa del Rey, CA 90293",NaN,Los+Angeles
161,Sr. <b>Data</b> <b>Scientist</b>,"
    tronc","Los Angeles, CA",NaN,Los+Angeles
162,Machine Learning Research <b>Scientist</b> - 2004504,"
    Software Engineering Institute","Pittsburgh, PA 15213 <span style=""font-size: smaller"">(North Oakland area)</span>",NaN,Pittsburgh
163,Machine Learning Specialist,"
        Uber","Pittsburgh, PA 15201 <span style=""font-size: smaller"">(Central Lawrenceville area)</span>",NaN,Pittsburgh
164,Research <b>Data</b> Analyst - Neurosurgery,"
        Allegheny General Hospital","Pittsburgh, PA",NaN,Pittsburgh
165,Jr Quantitative Risk Analyst,"
        BNY Mellon","Pittsburgh, PA",NaN,Pittsburgh
166,Statistical Genetics Analyst,"
        The University of Pittsburgh","Pittsburgh, PA",NaN,Pittsburgh
167,Director of Machine Learning,"
        UPMC","Pittsburgh, PA 15206 <span style=""font-size: smaller"">(Larimer area)</span>",NaN,Pittsburgh
168,"Research Programmer, Machine Learning","
        Carnegie Mellon University","Pittsburgh, PA",NaN,Pittsburgh
169,"Principle Engineer - Big <b>Data</b>, Big Compute","
    Argo AI","Pittsburgh, PA",NaN,Pittsburgh
170,<b>Scientist</b>,"
        UPMC","Pittsburgh, PA 15219 <span style=""font-size: smaller"">(Middle Hill area)</span>",NaN,Pittsburgh
171,Statistician HPL,"
        UPMC","Pittsburgh, PA 15219 <span style=""font-size: smaller"">(Middle Hill area)</span>",NaN,Pittsburgh
172,Computational <b>Scientist</b>,"
    Naval Nuclear Laboratory","West Mifflin, PA 15122",NaN,Pittsburgh
173,Lead <b>Data</b> <b>Scientist</b> - Healthcare,"
        Aetna","Pittsburgh, PA 15220",NaN,Pittsburgh
174,Quantitative Analytics &amp; Model Development Analyst Sr,"
        PNC Bank","Pittsburgh, PA",NaN,Pittsburgh
175,Machine Learning Engineer,"
        UPMC","Pittsburgh, PA 15206 <span style=""font-size: smaller"">(Larimer area)</span>",NaN,Pittsburgh
176,"Mid-Level Java Developer (Java, Spring, <b>Data</b> Modeling/Analys...","
        BNY Mellon","Pittsburgh, PA",NaN,Pittsburgh
177,Statistical Marketing Analyst,"
    DBD Staffing","Pittsburgh, PA","$45,000 - $70,000 a year",Pittsburgh
178,"Engineering Intern, Pittsburgh PA, MS","
        Tetra Tech","Pittsburgh, PA 15235",NaN,Pittsburgh
179,"3D Character Animation Programmer, Machine Learning","
        Carnegie Mellon University","Pittsburgh, PA",NaN,Pittsburgh
180,Research <b>Data</b> Analyst,"
        Johns Hopkins University","Baltimore, MD","$43,011 - $59,217 a year",Baltimore
181,Research Analyst,"
        University of Baltimore","Baltimore, MD 21201 <span style=""font-size: smaller"">(Downtown area)</span>","$41,400 - $55,700 a year",Baltimore
182,QC <b>Data</b> Analyst,"
        Paragon Bioservices","Baltimore, MD",NaN,Baltimore
183,<b>Data</b> <b>Scientist</b> / Business Intelligence Analyst,"
    Stansberry Research","Baltimore, MD",NaN,Baltimore
184,Maryland Longitudinal <b>Data</b> System Statistician,"
        University of Maryland, Baltimore","Baltimore, MD",NaN,Baltimore
185,Sr. Research <b>Data</b> Analyst,"
        Johns Hopkins University","Baltimore, MD","$49,957 - $68,721 a year",Baltimore
186,Prin Quantitative Analyst,"
        Exelon","Baltimore, MD",NaN,Baltimore
187,Principal Research <b>Scientist</b> - Quantitative Psychology/Biost...,"
        Battelle","Baltimore, MD 21209 <span style=""font-size: smaller"">(Cheswolde area)</span>",NaN,Baltimore
188,Advanced Machine Learning-Based Postdoc Research,"
        Oak Ridge Associated Universities","Baltimore, MD",NaN,Baltimore
189,Research Analyst,"
        Howard Community College","Columbia, MD","$46,332 a year",Baltimore
190,Design Researcher,"
        Johns Hopkins University","Baltimore, MD",$17.80 - $24.48 an hour,Baltimore
191,Senior Research Analyst,"
        Baltimore City Community College","Baltimore, MD",NaN,Baltimore
192,Coastal <b>Scientist</b>,"
        Moffatt &amp; Nichol","Baltimore, MD",NaN,Baltimore
193,<b>Data</b> Integration Developer,"
        University of Maryland Medical System","Linthicum Heights, MD 21090",NaN,Baltimore
194,Quantitative Investment Risk Analyst,"
        T. Rowe Price","Baltimore, MD",NaN,Baltimore
195,Staff <b>Scientist</b>,"
    Lieber Institute for Brain Development","Baltimore, MD",NaN,Baltimore
196,<b>Data</b> <b>Scientist</b> / Operations Research Analyst,"
        Booz Allen Hamilton","Annapolis Junction, MD",NaN,Baltimore
197,Sr. Research Program Coordinator,"
        Johns Hopkins University","Baltimore, MD","$37,040 - $50,932 a year",Baltimore
198,Machine Learning Engineer,"
        CTI Consulting","Miami, FL","$120,000 a year",Miami
199,Research <b>Scientist</b>,"
        Florida International University","Miami, FL",NaN,Miami
200,Senior Research Analyst (Statistical Analysis),"
        University of Miami","Coral Gables, FL","$40,000 - $56,000 a year",Miami
201,Sr. Research Analyst / Pre-award Grants,"
        University of Miami","Coral Gables, FL","$40,000 - $72,000 a year",Miami
202,Analyst II Procurement,"
        Kollmorgen","Miami, FL",NaN,Miami
203,Analyst V Healthcare Reporting &amp; <b>Data</b> Analysis,"
        Florida Blue","Miami, FL",NaN,Miami
204,<b>Data</b> Research Analyst III,"
        Bayview Loan Servicing","Coral Gables, FL",NaN,Miami
205,Senior Research <b>Scientist</b> - 12227,"
        Miami Children's Hospital","Miami, FL 33155",NaN,Miami
206,Post Doctoral Associate /Asst. or Assoc. <b>Scientist</b>,"
        University of Miami","Coral Gables, FL",NaN,Miami
207,Statistical Pairs Trading Positions,"
        T3 Trading Group LLC","Miami, FL 33129 <span style=""font-size: smaller"">(Coral Way area)</span>",NaN,Miami
208,<b>Data</b> <b>Scientist</b> Manager,"
        Visa","Miami, FL",NaN,Miami
209,Assistant <b>Scientist</b>,"
        University of Miami","Coral Gables, FL",NaN,Miami
210,Food <b>Scientist</b>,"
        Covance","Miami, FL",NaN,Miami
211,RSMAS-Research Associate II,"
        University of Miami","Coral Gables, FL",NaN,Miami
212,Staff Regulatory Affairs Specialist,"
        Kollmorgen","Miami, FL",NaN,Miami
213,QC Associate <b>Scientist</b>,"
    Beacon Hill Pharma","Miami, FL",NaN,Miami
214,Research Analyst (Two open positions),"
        University of Miami","Coral Gables, FL","$45,000 - $55,000 a year",Miami
215,Sr. Accounttig Research Analyst,"
        FedEx Express","Miami, FL",NaN,Miami
216,"<b>Data</b> Analyst, Predictive Modeling","
    Target MarkeTeam","Atlanta, GA",NaN,Atlanta
217,Machine learning / AI / Restful API web services Engineer at...,"
    CareerMonks","Atlanta, GA","$120,000 a year",Atlanta
218,"Senior, Advanced Analytics","
        AT&amp;T","Atlanta, GA",NaN,Atlanta
219,Statistician,"
    IHRC, Inc.","Atlanta, GA 30346",NaN,Atlanta
220,Supervisory Health <b>Scientist</b>,"
        Centers for Disease Control and Prevention","Atlanta, GA","$125,132 - $161,900 a year",Atlanta
221,Lead <b>Data</b> <b>Scientist</b>,"
        Cox Automotive","Atlanta, GA",NaN,Atlanta
222,Research <b>Scientist</b> - Orthopaedics,"
        Children's Healthcare of Atlanta","Atlanta, GA 30342 <span style=""font-size: smaller"">(Buckhead area)</span>",NaN,Atlanta
223,Sr. <b>Data</b> <b>Scientist</b>,"
    Pivotal Software","Atlanta, GA",NaN,Atlanta
224,<b>Data</b> Management and Analysis Fellowship - CDC,"
        Oak Ridge Associated Universities","Atlanta, GA",NaN,Atlanta
225,Lead Decision <b>Scientist</b>,"
        Cox Automotive","Atlanta, GA",NaN,Atlanta
226,Operations Research Analyst III,"
        Voca","Atlanta, GA",NaN,Atlanta
227,Professional-<b>Data</b> Analysis - BIG <b>DATA</b>,"
        AT&amp;T","Alpharetta, GA",NaN,Atlanta
228,STD Statistical Analysis Fellowship -- CDC,"
        Oak Ridge Associated Universities","Atlanta, GA",NaN,Atlanta
229,Big <b>Data</b> Technical Intern I,"
        AT&amp;T","Alpharetta, GA",NaN,Atlanta
230,Market Research Analyst,"
        Kantar Millward Brown","Atlanta, GA",NaN,Atlanta
231,"Analyst, Research - TCM/FilmStruck","
        Turner","Atlanta, GA 30319",NaN,Atlanta
232,Senior Prospect Research Analyst,"
        Children's Healthcare of Atlanta","Atlanta, GA 30329",NaN,Atlanta
233,"Manager, <b>Data</b> Science","
        Capgemini","Atlanta, GA",NaN,Atlanta
234,<b>Data</b> <b>Scientist</b>,"
    NxT Level","Seattle, WA","$125,000 - $160,000 a year",Seattle
235,Software Engineer - Machine Learning,"
    NxT Level","Seattle, WA","$100,000 - $135,000 a year",Seattle
236,Sr <b>Data</b> <b>Scientist</b>,"
    RealSelf","Seattle, WA 98121 <span style=""font-size: smaller"">(Belltown area)</span>",NaN,Seattle
237,Machine Learning Engineer #priority,"
        Blueprint Consulting Services","Bellevue, WA",NaN,Seattle
238,Big <b>Data</b> Analysis/BI expert at Microsoft,"
    Horizon","Seattle, WA",NaN,Seattle
239,<b>Data</b> Analyst,"
        Wunderman","Seattle, WA",NaN,Seattle
240,Azure Supportability - Machine Learning <b>Data</b> Technicians/Ana...,"
    netLogic Solutions,Inc","Redmond, WA",NaN,Seattle
241,<b>Data</b> Engineer/<b>Scientist</b>,"
    Employment Trust","Bellevue, WA","$100,000 - $135,000 a year",Seattle
242,SDE-Machine Learning,"
        Posh Technologies","Redmond, WA",NaN,Seattle
243,<b>Data</b> Operations Mgr III,"
        Fred Hutchinson Cancer Research Center","Seattle, WA 98109 <span style=""font-size: smaller"">(Westlake area)</span>",NaN,Seattle
244,Applied <b>Scientist</b> II,"
        Microsoft","Bellevue, WA",NaN,Seattle
245,Machine Learning <b>Scientist</b>,"
        Amazon Corporate LLC","Seattle, WA",NaN,Seattle
246,Sr <b>Data</b> <b>Scientist</b>,"
        Staples","Seattle, WA",NaN,Seattle
247,<b>Data</b> Coordinator I,"
        Fred Hutchinson Cancer Research Center","Seattle, WA 98109 <span style=""font-size: smaller"">(Westlake area)</span>",NaN,Seattle
